[31-10-22 15:58:46.009] LOG  : General     , 1667257126009> cachedir set to "C:\Users\egbig\Zomboid".
[31-10-22 15:58:46.028] LOG  : General     , 1667257126028> 31-10-2022 15:58:46.
[31-10-22 15:58:46.029] LOG  : General     , 1667257126029> cachedir is "C:\Users\egbig\Zomboid".
[31-10-22 15:58:46.029] LOG  : General     , 1667257126029> LogFileDir is "C:\Users\egbig\Zomboid\Logs".
[31-10-22 15:58:46.030] LOG  : General     , 1667257126030> ===== System specs =====.
[31-10-22 15:58:46.031] LOG  : General     , 1667257126031> OS: Windows 10, version: 10.0, arch: amd64.
[31-10-22 15:58:46.032] LOG  : General     , 1667257126031> Processor: AMD64 Family 25 Model 33 Stepping 2, AuthenticAMD.
[31-10-22 15:58:46.032] LOG  : General     , 1667257126032> Processor cores: 16.
[31-10-22 15:58:46.033] LOG  : General     , 1667257126033> Available processors (cores): 16.
[31-10-22 15:58:46.034] LOG  : General     , 1667257126034> Memory free: 491.16772 MB.
[31-10-22 15:58:46.035] LOG  : General     , 1667257126035> Memory max: 3072.0 MB.
[31-10-22 15:58:46.035] LOG  : General     , 1667257126035> Memory  total available to JVM: 512.0 MB.
[31-10-22 15:58:46.038] LOG  : General     , 1667257126038> C:\, Total: 930.8997 GB, Free: 240.53375 GB.
[31-10-22 15:58:46.209] LOG  : General     , 1667257126209> Mobo = [Product=X570 AORUS ELITE WIFI].
[31-10-22 15:58:46.307] LOG  : General     , 1667257126307> CPU = [Manufacturer=AuthenticAMD,MaxClockSpeed=3801,Name=AMD Ryzen 7 5800X 8-Core Processor].
[31-10-22 15:58:46.410] LOG  : General     , 1667257126410> Graphics = [AdapterRAM=4293918720,DriverVersion=31.0.15.2647,Name=NVIDIA GeForce RTX 3070 Ti].
[31-10-22 15:58:46.512] LOG  : General     , 1667257126512> VideoMode = [VideoModeDescription=3840 x 2160 x 4294967296 colors].
[31-10-22 15:58:46.613] LOG  : General     , 1667257126613> Sound = { [Manufacturer=Microsoft,Name=USB Audio 2.0], [Manufacturer=Realtek,Name=Realtek High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=NVIDIA,Name=NVIDIA Broadcast], [Manufacturer=(Generic USB Audio),Name=USB Audio Device] }.
[31-10-22 15:58:46.708] LOG  : General     , 1667257126708> Memory RAM = { [Capacity=17179869184,Manufacturer=Unknown], [Capacity=17179869184,Manufacturer=Unknown] }.
[31-10-22 15:58:46.708] LOG  : General     , 1667257126708> ========================.
[31-10-22 15:58:46.709] LOG  : General     , 1667257126709> -- listing properties --.
[31-10-22 15:58:46.709] LOG  : General     , 1667257126709> java.specification.version=17.
[31-10-22 15:58:46.709] LOG  : General     , 1667257126709> sun.cpu.isalist=amd64.
[31-10-22 15:58:46.710] LOG  : General     , 1667257126710> sun.jnu.encoding=Cp1252.
[31-10-22 15:58:46.710] LOG  : General     , 1667257126710> java.class.path=.;commons-compress-1.18.jar;istack-co....
[31-10-22 15:58:46.710] LOG  : General     , 1667257126710> java.vm.vendor=Azul Systems, Inc..
[31-10-22 15:58:46.710] LOG  : General     , 1667257126710> sun.arch.data.model=64.
[31-10-22 15:58:46.710] LOG  : General     , 1667257126710> user.variant=.
[31-10-22 15:58:46.711] LOG  : General     , 1667257126711> java.vendor.url=http://www.azul.com/.
[31-10-22 15:58:46.711] LOG  : General     , 1667257126711> user.timezone=America/Los_Angeles.
[31-10-22 15:58:46.711] LOG  : General     , 1667257126711> zomboid.steam=1.
[31-10-22 15:58:46.711] LOG  : General     , 1667257126711> java.vm.specification.version=17.
[31-10-22 15:58:46.712] LOG  : General     , 1667257126711> os.name=Windows 10.
[31-10-22 15:58:46.712] LOG  : General     , 1667257126712> user.country=US.
[31-10-22 15:58:46.712] LOG  : General     , 1667257126712> sun.boot.library.path=C:\Program Files (x86)\Steam\steamapp....
[31-10-22 15:58:46.712] LOG  : General     , 1667257126712> zomboid.znetlog=1.
[31-10-22 15:58:46.712] LOG  : General     , 1667257126712> jdk.debug=release.
[31-10-22 15:58:46.713] LOG  : General     , 1667257126713> sun.cpu.endian=little.
[31-10-22 15:58:46.713] LOG  : General     , 1667257126713> user.home=C:\Users\egbig.
[31-10-22 15:58:46.713] LOG  : General     , 1667257126713> user.language=en.
[31-10-22 15:58:46.713] LOG  : General     , 1667257126713> java.specification.vendor=Oracle Corporation.
[31-10-22 15:58:46.713] LOG  : General     , 1667257126713> java.version.date=2021-10-19.
[31-10-22 15:58:46.714] LOG  : General     , 1667257126714> java.home=C:\Program Files (x86)\Steam\steamapp....
[31-10-22 15:58:46.714] LOG  : General     , 1667257126714> file.separator=\.
[31-10-22 15:58:46.714] LOG  : General     , 1667257126714> java.vm.compressedOopsMode=Zero based.
[31-10-22 15:58:46.714] LOG  : General     , 1667257126714> line.separator=.
